0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:47 +0900] "GET /ctc/resources/image/rent/car.png HTTP/1.1" 200 14231
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:48 +0900] "GET /ctc/goods/goodsPackageSearch.do HTTP/1.1" 200 13439
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:48 +0900] "GET /ctc/resources/image/package/pckItem01.jpg HTTP/1.1" 200 148575
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:50 +0900] "GET /ctc/board/faq.do HTTP/1.1" 200 25722
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:50 +0900] "GET /ctc/resources/image/faq/faq.png HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:52 +0900] "GET /ctc/board/noticeList.do HTTP/1.1" 200 23211
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:05 +0900] "GET /ctc/joinAndLogin/selectLogin.do HTTP/1.1" 200 10665
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:05 +0900] "GET /ctc/resources/image/member/member1.png HTTP/1.1" 200 40282
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:05 +0900] "GET /ctc/resources/css/joinMain.css HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:05 +0900] "GET /ctc/resources/image/member/member2.png HTTP/1.1" 200 39763
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:06 +0900] "GET /ctc/joinAndLogin/loginForm.do HTTP/1.1" 200 12885
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:34 +0900] "POST /ctc/joinAndLogin/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:34 +0900] "GET /ctc/main/main.do HTTP/1.1" 200 34984
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:35 +0900] "GET /ctc/mypage/myInfo.do HTTP/1.1" 200 13453
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:35 +0900] "GET /ctc/resources/image/mypage/user.png HTTP/1.1" 200 4836
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:14:38 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16565
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:15:44 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16584
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:15:45 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16584
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:15:53 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16584
